Académico,Artículos Publicados,,,,,Artículos Aceptados,,,,,Artículos en Repositorios,,,,,Artículos en Memorias,,,,,Cursos de Posgrado Frente a Grupo,,,,,Cursos de Licenciatura Frente a Grupo,,,
,2020,2021,2022,2023,,2020,2021,2022,2023,,2020,2021,2022,2023,,2020,2021,2022,2023,,2020,2021,2022,2023,,2020,2021,2022,2023
A,2,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,2,2,2,,0,0,0,0
B,3,2,0,0,,0,2,1,0,,0,0,0,0,,2,1,0,1,,0,2,1,1,,0,0,0,0
C,2,3,1,4,,0,1,0,0,,0,0,1,0,,1,0,0,0,,2,2,2,2,,2,2,2,0
D,2,2,1,1,,1,0,0,0,,0,0,0,0,,0,0,0,0,,4,1,2,1,,0,1,1,1
E,6,4,5,7,,0,0,3,0,,0,0,0,0,,0,2,0,2,,2,2,2,0,,0,0,0,0
F,0,0,1,2,,0,0,0,1,,0,0,0,0,,0,0,4,3,,0,2,3,2,,0,3,1,1
G,0,0,0,1,,0,0,0,1,,0,0,0,0,,0,1,0,1,,0,4,5,0,,0,0,0,1
H,1,3,2,3,,0,0,0,0,,0,0,0,0,,2,4,2,1,,0,0,0,0,,2,2,2,2
I,1,2,2,1,,0,0,0,1,,3,1,0,0,,0,0,0,0,,2,2,1,1,,0,0,0,0
J,4,1,3,3,,0,0,0,0,,0,0,0,6,,0,0,0,1,,2,2,2,1,,0,1,0,1
K,0,1,1,1,,0,0,0,0,,0,0,0,0,,0,1,0,1,,2,1,1,0,,0,0,0,0
L,3,1,2,0,,0,0,0,0,,0,0,0,1,,0,0,0,0,,1,0,0,2,,1,0,0,0
M,0,1,2,1,,0,0,0,0,,1,1,0,0,,0,0,0,0,,0,1,0,1,,0,0,0,0
N,0,1,0,0,,0,0,0,0,,0,0,0,0,,2,0,1,0,,0,0,0,0,,0,0,0,0
O,1,1,1,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,2,1,0
